Python 3.12.0 (tags/v3.12.0:0fb18b0, Oct  2 2023, 13:03:39) [MSC v.1935 64 bit (AMD64)] on win32
Type "help", "copyright", "credits" or "license()" for more information.
>>> 
= RESTART: C:/Users/NZO BUSINESS/Documents/Assimilation/Ahmed_assimilation/modele1.py
ARIMA(0, 0, 0) RMSE=26.490
ARIMA(0, 0, 1) RMSE=18.628
ARIMA(0, 0, 2) RMSE=16.196
ARIMA(0, 0, 3) RMSE=15.705
ARIMA(0, 0, 4) RMSE=15.618
ARIMA(0, 1, 0) RMSE=16.327
ARIMA(0, 1, 1) RMSE=16.476
ARIMA(0, 1, 2) RMSE=16.130
ARIMA(0, 1, 3) RMSE=15.003
ARIMA(0, 1, 4) RMSE=14.911
ARIMA(0, 2, 0) RMSE=21.990
ARIMA(0, 2, 1) RMSE=16.338
ARIMA(0, 2, 2) RMSE=16.480
ARIMA(0, 2, 3) RMSE=16.111
ARIMA(0, 2, 4) RMSE=15.004
ARIMA(1, 0, 0) RMSE=15.649
ARIMA(1, 0, 1) RMSE=15.346
ARIMA(1, 0, 2) RMSE=15.416
ARIMA(1, 0, 3) RMSE=15.001
ARIMA(1, 0, 4) RMSE=14.928
ARIMA(1, 1, 0) RMSE=16.403
ARIMA(1, 1, 1) RMSE=15.423
ARIMA(1, 1, 2) RMSE=15.005
ARIMA(1, 1, 3) RMSE=14.920
ARIMA(1, 1, 4) RMSE=14.939
ARIMA(1, 2, 0) RMSE=21.135
ARIMA(1, 2, 1) RMSE=16.411
ARIMA(1, 2, 2) RMSE=16.285
ARIMA(1, 2, 3) RMSE=424621.342
ARIMA(1, 2, 4) RMSE=16.108
ARIMA(2, 0, 0) RMSE=15.397
ARIMA(2, 0, 1) RMSE=15.365
ARIMA(2, 0, 2) RMSE=15.210
ARIMA(2, 0, 3) RMSE=14.945
ARIMA(2, 0, 4) RMSE=14.953
ARIMA(2, 1, 0) RMSE=15.935
ARIMA(2, 1, 1) RMSE=14.965
ARIMA(2, 1, 2) RMSE=14.970
ARIMA(2, 1, 3) RMSE=14.927
ARIMA(2, 1, 4) RMSE=14.940
ARIMA(2, 2, 0) RMSE=20.550
ARIMA(2, 2, 1) RMSE=15.942
ARIMA(2, 2, 2) RMSE=14.968
ARIMA(2, 2, 3) RMSE=16.662
ARIMA(2, 2, 4) RMSE=2476916.735
ARIMA(3, 0, 0) RMSE=15.287
ARIMA(3, 0, 1) RMSE=14.987
ARIMA(3, 0, 2) RMSE=14.987
ARIMA(3, 0, 3) RMSE=14.945
ARIMA(3, 0, 4) RMSE=14.973
ARIMA(3, 1, 0) RMSE=15.298
ARIMA(3, 1, 1) RMSE=14.971
ARIMA(3, 1, 2) RMSE=14.983
ARIMA(3, 1, 3) RMSE=14.875
ARIMA(3, 1, 4) RMSE=14.914
ARIMA(3, 2, 0) RMSE=19.139
ARIMA(3, 2, 1) RMSE=15.307
ARIMA(3, 2, 2) RMSE=14.936
ARIMA(3, 2, 4) RMSE=16.272
ARIMA(4, 0, 0) RMSE=14.998
ARIMA(4, 0, 1) RMSE=14.989
ARIMA(4, 0, 2) RMSE=14.986
ARIMA(4, 0, 3) RMSE=14.942
ARIMA(4, 0, 4) RMSE=15.029
ARIMA(4, 1, 0) RMSE=15.178
ARIMA(4, 1, 1) RMSE=14.887
ARIMA(4, 1, 2) RMSE=14.955
ARIMA(4, 1, 3) RMSE=14.952
ARIMA(4, 1, 4) RMSE=14.930
ARIMA(4, 2, 0) RMSE=18.117
ARIMA(4, 2, 1) RMSE=15.187
ARIMA(4, 2, 2) RMSE=15.303
ARIMA(4, 2, 4) RMSE=15.369
ARIMA(5, 0, 0) RMSE=14.948
ARIMA(5, 0, 1) RMSE=14.911
ARIMA(5, 0, 2) RMSE=14.975
ARIMA(5, 0, 3) RMSE=14.970
ARIMA(5, 0, 4) RMSE=14.950
ARIMA(5, 1, 0) RMSE=15.169
ARIMA(5, 1, 1) RMSE=14.888
ARIMA(5, 1, 2) RMSE=14.900
ARIMA(5, 1, 3) RMSE=14.898
ARIMA(5, 1, 4) RMSE=14.910
ARIMA(5, 2, 0) RMSE=17.332
ARIMA(5, 2, 1) RMSE=15.177
ARIMA(5, 2, 2) RMSE=15.194
ARIMA(5, 2, 4) RMSE=15.360
Best ARIMA(3, 1, 3) RMSE=14.875
