"id","pm01","pm25","pm10","temperature","humidity","event"
"4222","23","54","72","24","89","2023-02-15 14:08:59"
"4223","19","45","54","24","88","2023-02-15 14:10:59"
"4224","22","53","81","24","87","2023-02-15 14:13:00"
"4225","26","58","64","24","87","2023-02-15 14:15:00"
"4226","24","58","83","24","86","2023-02-15 14:17:01"
"4227","22","55","72","24","86","2023-02-15 14:19:01"
"4228","20","48","61","24","86","2023-02-15 14:21:02"
"4229","26","54","70","24","88","2023-02-15 14:23:02"
"4230","23","51","72","24","87","2023-02-15 14:25:02"
"4231","20","49","64","24","87","2023-02-15 14:27:03"
"4232","24","53","65","24","86","2023-02-15 14:29:03"
"4233","20","52","70","24","87","2023-02-15 14:31:04"
"4234","20","51","69","24","85","2023-02-15 14:33:05"
"4235","24","60","83","24","86","2023-02-15 14:35:05"
"4236","22","53","65","24","85","2023-02-15 14:37:06"
"4237","24","51","71","24","85","2023-02-15 14:39:06"
"4238","18","41","48","24","85","2023-02-15 14:41:06"
"4239","19","43","54","25","84","2023-02-15 14:43:07"
"4240","22","53","90","24","86","2023-02-15 14:45:08"
"4241","22","53","78","24","85","2023-02-15 14:47:08"
"4242","19","43","58","24","84","2023-02-15 14:49:09"
"4243","19","53","69","24","84","2023-02-15 14:51:09"
"4244","22","55","74","24","84","2023-02-15 14:53:09"
"4245","22","55","71","24","85","2023-02-15 14:55:09"
"4246","22","50","64","24","85","2023-02-15 14:57:10"
"4247","20","53","81","24","85","2023-02-15 14:59:11"
"4248","21","45","73","24","84","2023-02-15 15:01:11"
"4249","22","57","74","24","84","2023-02-15 15:03:12"
"4250","25","56","67","24","86","2023-02-15 15:05:12"
"4251","23","55","68","24","86","2023-02-15 15:07:12"
"4252","19","47","74","25","85","2023-02-15 15:09:12"
"4253","21","55","77","25","83","2023-02-15 15:11:12"
"4254","25","57","76","24","83","2023-02-15 15:13:13"
"4255","19","50","63","25","84","2023-02-15 15:15:13"
"4256","26","60","80","24","83","2023-02-15 15:17:14"
"4257","20","42","67","24","84","2023-02-15 15:19:14"
"4258","25","56","85","25","83","2023-02-15 15:21:15"
"4259","23","54","82","24","85","2023-02-15 15:23:15"
"4260","18","46","58","24","84","2023-02-15 15:25:15"
"4261","25","57","91","25","83","2023-02-15 15:27:15"
"4262","19","48","67","25","82","2023-02-15 15:29:16"
"4263","19","49","58","25","81","2023-02-15 15:31:17"
"4264","21","48","62","25","83","2023-02-15 15:33:17"
"4265","21","54","71","24","82","2023-02-15 15:35:18"
"4266","22","61","88","25","83","2023-02-15 15:37:18"
"4267","21","54","70","25","83","2023-02-15 15:39:18"
"4268","23","54","69","25","82","2023-02-15 15:41:18"
"4269","20","50","70","25","82","2023-02-15 15:43:18"
"4270","19","51","73","25","81","2023-02-15 15:45:18"
"4271","19","52","76","25","81","2023-02-15 15:47:19"
"4272","21","52","73","25","83","2023-02-15 15:49:19"
"4273","21","49","69","24","84","2023-02-15 15:51:20"
"4274","26","58","68","25","83","2023-02-15 15:53:20"
"4275","21","56","69","24","82","2023-02-15 15:55:21"
"4276","21","55","75","24","82","2023-02-15 15:57:22"
"4277","20","52","67","25","82","2023-02-15 15:59:22"
"4278","22","57","73","24","84","2023-02-15 16:01:23"
"4279","23","58","80","24","85","2023-02-15 16:03:23"
"4280","26","63","92","24","85","2023-02-15 16:05:23"
"4281","23","51","71","24","84","2023-02-15 16:07:24"
"4282","20","53","70","24","83","2023-02-15 16:09:24"
"4283","25","54","75","24","83","2023-02-15 16:11:24"
"4284","20","51","74","24","84","2023-02-15 16:13:25"
"4285","23","55","77","24","85","2023-02-15 16:15:25"
"4286","20","51","81","24","86","2023-02-15 16:17:26"
"4287","23","57","75","24","85","2023-02-15 16:19:26"
"4288","24","57","79","24","85","2023-02-15 16:21:26"
"4289","24","54","76","24","87","2023-02-15 16:23:27"
"4290","28","60","73","24","86","2023-02-15 16:25:28"
"4291","22","53","66","24","86","2023-02-15 16:27:28"
"4292","22","52","73","24","85","2023-02-15 16:29:28"
"4293","22","54","73","24","85","2023-02-15 16:31:29"
"4294","23","59","79","24","85","2023-02-15 16:33:29"
"4295","25","50","69","24","85","2023-02-15 16:35:30"
"4296","23","52","82","24","84","2023-02-15 16:37:30"
"4297","27","59","73","24","84","2023-02-15 16:39:30"
"4298","26","63","87","24","85","2023-02-15 16:41:30"
"4299","27","63","81","24","86","2023-02-15 16:43:30"
"4300","20","55","83","24","85","2023-02-15 16:45:30"
"4301","29","60","78","24","85","2023-02-15 16:47:30"
"4302","26","56","83","24","86","2023-02-15 16:49:30"
"4303","25","62","82","24","86","2023-02-15 16:51:31"
"4304","24","53","67","24","87","2023-02-15 16:53:31"
"4305","27","61","71","24","88","2023-02-15 16:55:31"
