"id","pm01_m","pm25_m","pm10_m","temperature_m","humidity_m","iqa_pm25","iqa_pm10","event"
"1","23","55","74","23","91","0","0","2023-02-15"
"2","15","34","45","22","74","0","0","2023-02-16"
"3","10","20","25","20","73","0","0","2023-02-17"
"4","6","12","15","21","69","0","0","2023-02-18"
"5","6","12","15","22","70","0","0","2023-02-19"
"6","10","19","22","23","63","0","0","2023-02-20"
"7","10","21","26","22","71","0","0","2023-02-21"
"8","12","24","30","22","61","0","0","2023-02-22"
"9","13","25","29","20","74","0","0","2023-02-23"
"10","11","21","25","20","76","0","0","2023-02-24"
"11","7","13","15","21","75","0","0","2023-02-25"
"12","4","7","8","21","75","0","0","2023-02-26"
"13","5","8","9","21","71","0","0","2023-02-27"
"14","8","12","14","22","65","0","0","2023-02-28"
"15","13","19","21","27","44","0","0","2023-03-02"
"16","9","14","16","23","62","0","0","2023-03-03"
"17","9","15","17","24","61","0","0","2023-03-04"
"18","8","14","16","24","61","0","0","2023-03-05"
"19","16","25","28","24","67","0","0","2023-03-06"
"20","13","19","21","26","56","0","0","2023-03-07"
"21","13","18","20","29","39","0","0","2023-03-08"
"22","8","11","12","28","41","0","0","2023-03-09"
"23","10","14","16","26","53","0","0","2023-03-10"
"24","11","17","19","27","50","0","0","2023-03-11"
"25","13","22","26","26","56","0","0","2023-03-12"
"26","15","29","35","27","52","0","0","2023-03-13"
"27","21","35","39","24","74","0","0","2023-03-14"
"28","15","26","29","23","87","0","0","2023-03-15"
"29","14","26","31","23","87","0","0","2023-03-16"
"30","18","32","37","23","84","0","0","2023-03-17"
"31","16","27","30","24","85","0","0","2023-03-18"
"32","9","20","25","24","83","0","0","2023-03-19"
"33","10","19","23","24","82","0","0","2023-03-20"
"34","11","18","21","23","86","0","0","2023-03-21"
"35","9","14","16","23","82","0","0","2023-03-22"
"36","5","7","8","22","80","0","0","2023-03-23"
"37","7","10","11","22","80","0","0","2023-03-24"
"38","15","23","25","23","83","0","0","2023-03-25"
"39","11","21","24","25","78","0","0","2023-03-26"
"40","11","19","22","26","66","0","0","2023-03-27"
"41","8","14","16","28","57","0","0","2023-03-28"
"42","12","20","22","26","68","0","0","2023-03-29"
"43","13","27","30","24","80","0","0","2023-04-12"
"44","13","24","29","26","73","0","0","2023-04-13"
"45","14","23","25","26","74","0","0","2023-04-14"
"46","11","20","23","26","69","0","0","2023-04-15"
"47","13","22","24","27","69","0","0","2023-04-16"
"48","11","18","20","24","79","0","0","2023-04-17"
"49","10","16","18","23","86","0","0","2023-04-18"
"50","6","9","11","22","87","0","0","2023-04-19"
"51","10","16","18","22","90","0","0","2023-04-20"
"52","12","18","19","22","90","0","0","2023-04-21"
"53","9","13","15","22","87","0","0","2023-04-22"
"54","7","11","12","23","89","0","0","2023-04-23"
"55","8","13","15","24","87","0","0","2023-04-24"
