Date;Bel Air;Bd. Rép.
01/01/2010;39,45;51,21
02/01/2010;46,53;49,67
03/01/2010;37,03;44,08
04/01/2010;48,44;49,04
05/01/2010;39,79;40,58
06/01/2010;56,12;53,67
07/01/2010;43,35;42,29
08/01/2010;30,44;30,29
09/01/2010;32,23;
10/01/2010;26,65;
11/01/2010;47,44;52,64
12/01/2010;54,89;56,42
13/01/2010;68,68;62,96
14/01/2010;41,70;46,96
15/01/2010;34,89;33,75
16/01/2010;34,26;35,96
17/01/2010;27,68;34,79
18/01/2010;88,41;89,75
19/01/2010;157,24;156,58
20/01/2010;170,30;173,42
21/01/2010;;91,75
22/01/2010;106,68;61,38
23/01/2010;31,90;43,13
24/01/2010;21,86;31,25
25/01/2010;55,67;56,67
26/01/2010;49,04;51,21
27/01/2010;39,98;38,83
28/01/2010;34,80;33,58
29/01/2010;31,93;
30/01/2010;26,72;37,67
31/01/2010;19,61;31,58
01/02/2010;56,20;48,79
02/02/2010;38,78;33,63
03/02/2010;28,64;27,39
04/02/2010;31,15;33,78
05/02/2010;60,30;62,50
06/02/2010;;67,17
07/02/2010;94,45;76,29
08/02/2010;142,53;89,13
09/02/2010;77,40;69,96
10/02/2010;62,85;62,53
11/02/2010;46,84;39,21
12/02/2010;32,29;36,50
13/02/2010;21,05;24,96
14/02/2010;11,87;15,88
15/02/2010;19,15;21,21
16/02/2010;23,57;28,54
17/02/2010;28,50;24,63
18/02/2010;24,16;26,58
19/02/2010;35,50;28,38
20/02/2010;59,46;23,67
21/02/2010;21,27;21,88
22/02/2010;36,30;28,88
23/02/2010;41,15;40,67
24/02/2010;97,57;74,08
25/02/2010;59,27;46,88
26/02/2010;36,57;36,67
27/02/2010;27,56;21,39
28/02/2010;31,54;22,63
01/03/2010;29,98;27,21
02/03/2010;34,77;27,74
03/03/2010;40,12;26,63
04/03/2010;33,15;34,63
05/03/2010;37,43;29,00
06/03/2010;;36,29
07/03/2010;;37,70
08/03/2010;60,54;54,83
09/03/2010;75,36;70,17
10/03/2010;59,25;50,21
11/03/2010;48,81;40,08
12/03/2010;47,64;40,52
13/03/2010;47,72;29,46
14/03/2010;48,37;47,25
15/03/2010;53,19;48,21
16/03/2010;38,29;35,33
17/03/2010;88,53;67,79
18/03/2010;153,06;136,88
19/03/2010;238,41;210,63
20/03/2010;260,75;251,52
21/03/2010;148,68;151,29
22/03/2010;79,16;83,75
23/03/2010;56,06;59,00
24/03/2010;47,53;53,00
25/03/2010;31,30;35,17
26/03/2010;57,25;61,46
27/03/2010;46,08;45,13
28/03/2010;61,99;64,83
